Institute,Program,Predicted Closing Rank
"National Institute of Technology, Patna","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Nagaland","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Electrical Engineering (4 Years, B.Tech)",23557
